country,theme,week_start,relative_interest,note
JP,generative_ai,2022-11-27,10,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2023-03-19,17,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2023-07-09,33,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2023-10-29,33,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2024-02-18,48,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2024-06-09,55,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2024-09-29,49,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2025-01-19,61,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2025-05-11,76,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2025-08-31,72,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2025-12-21,74,quarterly-ish subsample for preview only; within-country scale
JP,generative_ai,2026-04-12,74,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2022-11-27,0,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2023-03-19,0,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2023-07-09,0,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2023-10-29,0,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2024-02-18,0,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2024-06-09,1,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2024-09-29,1,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2025-01-19,4,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2025-05-11,5,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2025-08-31,6,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2025-12-21,6,quarterly-ish subsample for preview only; within-country scale
JP,ai_agent,2026-04-12,9,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2022-11-27,1,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2023-03-19,5,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2023-07-09,10,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2023-10-29,10,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2024-02-18,11,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2024-06-09,10,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2024-09-29,10,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2025-01-19,10,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2025-05-11,12,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2025-08-31,17,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2025-12-21,24,quarterly-ish subsample for preview only; within-country scale
US,generative_ai,2026-04-12,50,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2022-11-27,0,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2023-03-19,0,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2023-07-09,1,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2023-10-29,1,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2024-02-18,1,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2024-06-09,1,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2024-09-29,2,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2025-01-19,7,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2025-05-11,10,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2025-08-31,18,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2025-12-21,22,quarterly-ish subsample for preview only; within-country scale
US,ai_agent,2026-04-12,70,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2022-11-27,0,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2023-03-19,5,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2023-07-09,14,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2023-10-29,26,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2024-02-18,32,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2024-06-09,48,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2024-09-29,31,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2025-01-19,34,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2025-05-11,46,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2025-08-31,43,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2025-12-21,38,quarterly-ish subsample for preview only; within-country scale
KR,generative_ai,2026-04-12,63,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2022-11-27,0,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2023-03-19,0,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2023-07-09,0,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2023-10-29,0,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2024-02-18,0,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2024-06-09,0,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2024-09-29,0,quarterly-ish subsample for preview only; within-country scale
